Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
perfect urbanclap good service,['perfect urbanclap good service'],good service,good service,Company_Service,positive,,,,
Superb app Easy and quick to operate.,"['Superb app Easy ', ' quick to operate']",superb app,superb app,App_Utility,positive,quick to operate,,App_UI,positive
Good and professional services under one roof.,"['Good ', ' professional services under one roof']",professional services,,Company_Service,positive,,one roof,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
appreciated very good and professional service.,"['appreciated very good ', ' professional service']",appreciated,very good,Company_Service,positive,professional service,professional service,Company_Service,positive
very useful app,['very useful app'],useful app,useful app,App_Utility,positive,,,,
first time used this app amazing services on time.,"['first time', 'used this app amazing services on time']",first time used,first time,App_Utility ,positive,amazing services,this app,service_schedule ,positive
useful app and  rapid service,"['useful app ', ' rapid service']",useful app,useful app,App_Utility,positive,rapid service,rapid service,Company_Service,positive
service not available in my location ,"['service not available ', ' my location']",not available,not available,Company_Service,negative ,,,,
useless app coz it dosent give service in my locality,"['useless app coz it dosent give service ', ' my locality']",useless app,useless app,App_UI,negative ,,,,
worst app,['worst app'],worst app,worst app,App_Utility,negative ,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
awesome services,['awesome services'],awesome services,awesome services,Company_Service,positive,,,,
great experience,['great experience'],great experience,great experience,Company_Service,positive,,,,
Convenient and professional services,['Convenient and professional services'],professional services,professional services,App_Utility,positive,professional services,,Company_Service,positive
Not professional and untrained people,"['Not professional ', ' untrained people']",not professional,not professional,service_quality,negative ,untrained people,untrained people,service_person_attitude,negative 
Good service,['Good service'],good service,good service,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
good & useful app,['good and useful app'],useful app,useful app,App_Utility,positive,,,,
superb.very professional approach,['superb.very professional approach'],professional approach,professional approach,Company_Service,positive,,,,
very useful app,['very useful app'],useful app,useful app,App_Utility,positive,,,,
Reliable worker in this group,"['Reliable worker ', ' this group']",reliable worker,reliable worker,service_person_attitude ,positive,,this group,,
Good app. Good service.,"['Good app', ' Good service']",good app,good app,App_Utility,positive,good service,good service,Company_Service,positive
Superb service,['Superb service'],superb service,superb service,Company_Service,positive,,,,
helpful for all,['helpful for all'],helpful,,Company_Service,positive,,,,
hopeless and unprofessional,['hopeless and unprofessional'],unprofessional,and unprofessional,service_person_attitude,negative ,,,,
Great service and available skills,"['Great service ', ' available skills']",great service,great service,Company_Service,positive,,available skills,,
it's really a good experience and affordable too,"[""it's really a good experience "", ' affordable too']",good experience,good experience,Company_Service,positive,affordable,,cost,positive
worst app.money deducted and no service,"['worst app', 'money deducted and no service']",worst app,worst app,App_UI,negative ,deducted no service,no service,payment,negative 
punctual and hasslefree,['punctual and hasslefree'],hasslefree,and hasslefree,service_person_attitude ,positive,,,,
Best app for service provider,"['Best app ', ' service provider']",best app,best app,App_Utility,positive,,service provider,,
All home solutions at your door step.,"['All home solutions ', ' your door step']",all home solutions,all home,Company_Service,positive,,door step,,
False committment made by UC.,"['False committment made ', ' UC']",false committment,false committment,Company_Service,negative ,,,,
Just fantastic for birthday party events,"['Just fantastic ', ' birthday party events']",just fantastic,just fantastic,Company_Service,positive,birthday party,birthday party,service_quality,positive
Customer care is supportive,['Customer care is supportive'],customer care,customer care,Customer_Support,positive,,,,
not available in my location,"['not available ', ' my location']",not available,not available,Company_Service,negative ,,,,
A very good initiative,['A very good initiative'],good initiative,good initiative,Company_Service,positive,,,,
good app for personal care and household work.,"['good app for personal care ', ' household work']",good app,good app,App_Utility,positive,,household work,,
made life very easy,['made life very easy'],madvery easy,made life,Company_Service,positive,,,,
exceptional app with so much feasible,"['exceptional app ', ' so much feasible']",exceptional app,exceptional app,App_Utility,positive,,much feasible,,
urban clap is waste such a wasting of time,"['urban clap', 'is waste such a wasting of time']",wasting of time,urban clap,Company_Service,negative ,,is waste,,
Excellent service just a call away!,"['Excellent service', 'just a call away !']",excellent service,excellent service,Company_Service,positive,,a call,,
customer care service not upto the mark,"['customer care', 'service not upto the mark']",customer care,customer care,Customer_Support,negative ,,the mark,,
provides good service. I liked urban clap,"['provides good service', ' I liked urban clap']",good service,good service,Company_Service,positive,,urban clap,,
Worst ever .they loot money,"['Worst ever ', 'they loot money']",worst,,Company_Service,negative ,loot money,loot money,cost,negative 
really good app must for everyone,"['really good app must ', ' everyone']",good app,good app,App_Utility,positive,,,,
Its too costly in all,"['Its too costly ', ' all']",too costly,too costly,cost,negative ,,,,
quick service and easy navigation on app,"['quick service ', ' easy navigation on app']",quick service,quick service,Company_Service,positive,easy navigation on app,easy navigation,App_UI,positive
"Organized way of Communication, Professional Service","['Organized way of Communication', ' Professional Service']",organized way,organized way,App_Utility,positive,professional service,professional service,Company_Service,positive
great app ... very helpfull,"['great app ', '. very helpfull']",great app,great app,App_Utility,positive,,very helpfull,,
Professional and good quality service.keep it up.,"['Professional and good quality service', 'keep it up']",good quality,good quality,service_person_attitude,positive,quality service,,service_quality ,positive
used for 1 time and the service is worst,"['used for 1 time ', ' the service is worst']",1 time,1 time,App_Utility,negative ,service worst,the service,service_quality ,positive
happy with services,['happy with services'],happy with services,with services,Company_Service,positive,,,,
limited options,['limited options'],limited options,limited options,App_Functionality,negative ,,,,
awesome app.. very useful !!,"['awesome app', ' very useful !!']",awesome app,awesome app,App_Utility,positive,,very useful,,
Always happy with services provided,"['Always happy ', ' services provided']",always happy,always happy,Company_Service,positive,,,,
poor service all they care about is making money,"['poor service', 'all they care about is making money']",poor service,poor service,Company_Service,negative ,making money,making money,cost,negative 
very good professionals,['very good professionals'],good professionals,good professionals,service_person_attitude,positive,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
service quality degraded very badly.,"['service quality', 'degraded very badly']",service quality,service quality,service_quality,negative ,,,,
too costly,['too costly'],too costly,too costly,cost,negative ,,,,
Excellent service Thanks,['Excellent service Thanks'],excellent service,excellent service,Company_Service,positive,,,,
three different repair jobs. performed in time .professionally.,"['three different repair jobs', ' performed in time .professionally']",repair jobs,different repair,Company_Service ,positive,in time,in time,service_schedule,positive
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Nice company to deal with.,"['Nice company to deal ', '']",nice company,nice company,Company_Service,positive,,,,
Great services...Great Convenience.,"['Great services', '.Great Convenience']",great services,great services,Company_Service,positive,great convenience,great convenience,App_Utility,positive
Best and cheap services,['Best and cheap services'],cheap services,cheap services,Company_Service,positive,,,,
awesome service...,['awesome service'],awesome service,awesome service,Company_Service,positive,,,,
team was very good,['team was very good'],good,very good,service_person_attitude,positive,,,,
Best Service app in India,"['Best Service app ', ' India']",service app,best service,App_Utility,positive,,,,
faster and reliable,['faster and reliable'],reliable,and reliable,Company_Service,positive,,,,
it was really good services provide by Urban clap,"['it was really good services provide ', ' Urban clap']",good services,good services,Company_Service,positive,,urban clap,,
very helpful,['very helpful'],helpful,very helpful,Company_Service,positive,,,,
It's a  survivor of a needy people,"[""It 's a survivor"", 'of a needy people']",survivor,a survivor,Company_Service,positive,,needy people,,
Best service and talented professional!,"['Best service ', ' talented professional!']",best service,best service,Company_Service,positive,talented professional,talented professional,service_person_attitude,positive
did in a very short period..,"['did ', ' a very short period']",short period,,service_schedule ,positive,,short period,,
I am dissatisfied of cooler service,"['I am dissatisfied of cooler', 'service']",dissatisfied,of cooler,Company_Service,negative ,,,,
wonderful and presentable staff,['wonderful and presentable staff'],presentable staff,presentable staff,service_person_attitude,positive,,,,
Excellent app for daily services,"['Excellent app ', ' daily services']",excellent app,excellent app,App_Utility,positive,,daily services,,
extremely customer friendly app services.,"['extremely customer', 'friendly app services']",customer friendly app,extremely customer,App_UI,positive,friendly app,friendly app,App_UI,Positive
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
"Ruined my Ac , water leaking out of indoor unit","['Ruined my Ac ', ' water leaking out of indoor unit']",ruined my ac,,service_quality,negative ,leaking out of indoor,indoor unit,service_quality,negative 
Excellent experience in first job entrusted for AC servicing...,"['Excellent experience in first job entrusted ', ' AC servicing']",excellent experience,excellent experience,Company_Service,positive,,ac servicing,,
Nice first experience,['Nice first experience'],first experience,first experience,Company_Service,positive,,,,
Very nice and always useful,"['Very nice ', ' always useful']",nice,very nice,Company_Service,positive,useful,always useful,App_Utility,positive
PRICE VERY HIGH COMPARE TO LOCAL MARKET,"['PRICE VERY', 'HIGH COMPARE TO LOCAL MARKET']",price high,,cost,negative ,,high compare,,
Great app for home services..love this app..,"['Great app for home services', 'love this app']",great app,great app,App_Utility,positive,,this app,,
excellent very helpful,['excellent very helpful'],helpful,very helpful,Company_Service,positive,,,,
on time .. excellent service 5stars,"['on time ', ' excellent service 5stars']",on time,on time,service_schedule,positive,company_service,excellent service,Company_Service,positive
nice app very useful,['nice app very useful'],useful,very useful,App_Utility,positive,,,,
Poor service!!,['Poor service!!'],poor service,poor service,Company_Service,negative ,,,,
Punctual and professionalism,['Punctual and professionalism'],professionalism,and professionalism,service_person_attitude,positive,,,,
great service,['great service'],great service,great service,Company_Service,positive,,,,
punctual and jobspecific and neat,"['punctual ', ' jobspecific and neat']",punctual,,service_schedule,positive,ob specific,and neat,service_person_attitude,positive
great work,['great work'],great work,great work,service_quality,positive,,,,
life savior app,['life savior app'],savior app,savior app,App_Utility,positive,,,,
Very friendly app at the fingers tip's.,"['Very friendly app ', "" the fingers tip's""]",friendly app,friendly app,App_UI,positive,,the fingers,,
Good work,['Good work'],good work,good work,service_quality,positive,,,,
Best services provided,['Best services provided'],best services,best services,Company_Service,positive,,,,
Very competetive pricing and timely service solutions...,"['Very competetive pricing ', ' timely service solutions']",competetive pricing,competetive pricing,cost,positive,timely service,timely service,Company_Service ,positive
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
uses fake spares and technician not proficient in work,"['uses fake spares ', ' technician not proficient in work']",fake spares,fake spares,service_quality  ,negative ,not proficient,not proficient,service_person_attitude,negative 
Skilled Professionals. Client care is superb,"['Skilled Professionals', ' Client care is superb']",skilled professionals,skilled professionals,service_person_attitude ,positive,client care superb,client care,Customer_Support,positive
mangalmurti has done an effective and efficient job.,"['mangalmurti has done an effective ', ' efficient job']",effective,an effective,service_quality,positive,efficient job,efficient job,service_schedule ,positive
excellent app a must for everyone,"['excellent app a must ', ' everyone']",excellent app,,App_Utility,positive,,,,
Great Service,['Great Service'],great service,great service,Company_Service,positive,,,,
Prompt and Excellent Service. Well trained professional.,"['Prompt and Excellent Service', ' Well trained professional']",excellent service,excellent service,Company_Service,positive,well trained,trained professional,service_person_attitude ,positive
urban clap is saviour during urgent needs,"['urban clap', 'is saviour during urgent needs']",saviour,urban clap,Company_Service,positive,,urgent needs,,
good work done,['good work done'],good work,good work,service_quality,positive,,,,
very good job,['very good job'],good job,good job,service_quality,positive,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,positive,,,,
good timely service,['good timely service'],timely service,timely service,service_schedule,positive,,,,
best app for book services,"['best app ', ' book services']",best app,best app,App_Utility,positive,,book services,,
worst service waste of time spending,"['worst service', 'waste of time spending']",worst service,worst service,Company_Service,negative ,,of time,,
worst experience,['worst experience'],worst experience,worst experience,Company_Service,negative ,,,,
very useful and handy app to get reliable services,"['very useful ', ' handy app to get reliable services']",useful,very useful,App_Utility,positive,handy app,handy app,App_Utility,positive
extremely helpful and professional,['extremely helpful and professional'],extremely helpful,extremely helpful,App_Utility,positive,professional,,service_person_attitude,positive
Urban clap has a wide range of professionals.,"['Urban clap', 'has a wide range of professionals']",professionals,urban clap,service_person_attitude,positive,,wide range,,
Very useful facility at our door step,"['Very useful facility ', ' our door step']",useful facility,useful facility,Company_Service,positive,,door step,,
Quick and on time service,"['Quick ', ' on time service']",quick,,Company_Service,positive,on time,on time,service_schedule,positive
superb experience with uc.,['superb experience with uc'],superb experience,superb experience,Company_Service,positive,,,,
Does the job.,['Does the job'],the job,the job,service_quality,positive,,,,
exellent performance,['exellent performance'],exellent performance,exellent performance,service_quality,positive,,,,
great awesome. on time job,"['great awesome', ' on time job']",great awesome,great awesome,service_schedule,positive,on time job,on time,service_schedule,positive
Excellent and timely service with reasonable rate.,"['Excellent ', ' timely service with reasonable rate']",excellent,,Company_Service,positive,service with reasonable rate,timely service,cost,positive
Very much unprofessional. Now days they are cheater also,"['Very much unprofessional', ' Now days they are cheater also']",unprofessional,very much,service_person_attitude,negative ,cheater,are cheater,Company_Service,positive
Very professional,['Very professional'],professional,very professional,service_person_attitude,positive,,,,
very helpful,['very helpful'],helpful,very helpful,Company_Service,positive,,,,
"nice , good , easy to do things","['nice ', ' good , easy to do things']",easy to things,,Company_Service,positive,easy to,do things,App_Utility,positive
Good app... very convenient,"['Good app', '. very convenient']",good app,good app,App_Utility,positive,,very convenient,,
Excellent Quick Service,['Excellent Quick Service'],quick service,quick service,Company_Service,positive,,,,
very poor service,['very poor service'],poor service,poor service,Company_Service,negative ,,,,
Exceptionally good App & the service partners working underneath,"['Exceptionally good App ', ' the service partners working underneath']",good app,good app,App_Utility,positive,,the service,,
I am satisfied fully.,['I am satisfied fully'],satisfied,,Company_Service,positive,,,,
absolutely loved the service,['absolutely loved the service'],service,the service,Company_Service,positive,,,,
wonderful experience,['wonderful experience'],wonderful experience,wonderful experience,Company_Service,positive,,,,
"prompt, trustworthy and excellent service","['prompt', ' trustworthy and excellent service']",prompt,,service_schedule,positive,excellent service,excellent service,Company_Service,positive
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Excellent work,['Excellent work'],excellent work,excellent work,service_quality,positive,,,,
great clean work fully satisfied for the money paid,"['great clean work fully satisfied ', ' the money paid']",clean work,clean work,service_quality,positive,,the money,,
Great services,['Great services'],great services,great services,Company_Service,positive,,,,
very helpful app life becomes very easy,"['very helpful app life', 'becomes very easy']",helpful app,app life,App_Utility,positive,,very easy,,
third class,['third class'],third class,third class,Company_Service,negative ,,,,
it's a great app,"[""it 's a great app"", '']",great app,great app,App_Utility,positive,,,,
great service,['great service'],great service,great service,Company_Service,positive,,,,
it's a great app,"[""it 's a great app"", '']",great app,great app,App_Utility,positive,,,,
very good. hastle free,"['very good', ' hastle free']",good,very good,Company_Service,positive,hastle free,hastle free,App_Utility,positive
excellent job work.,['excellent job work'],excellent job,excellent job,service_quality,positive,,,,
professional services,['professional services'],professional services,professional services,Company_Service,positive,,,,
Neat and clean job.verymuch satisfied.,"['Neat and clean job', 'verymuch satisfied']",clean job,clean job,service_quality,positive,service_quality,,Company_Service ,positive
good experience.,['good experience'],good experience,good experience,Company_Service,positive,,,,
skillful,['skillful'],skillful,,service_person_attitude ,positive,,,,
very good service by professionals in services.,"['very good service ', ' professionals in services']",good service,good service,Company_Service,positive,professionals,in services,service_person_attitude,positive
"professional services, true value for money","['professional services', ' true value for money']",professional services,professional services,Company_Service,positive,,true value,,
Excellent home service app for urban,"['Excellent home service app ', ' urban']",excellent home service app,excellent home,App_Utility,positive,,,,
nice service and very professional..love it.,"['nice service and very professional', 'love it']",nice service,nice service,Company_Service,positive,professional,,service_person_attitude,positive
ok but there are issue with carpenters,"['ok but there are issue ', ' carpenters']",issue with carpenters,are issue,service_person_attitude,negative ,,,,
great app. already used twice.,"['great app', ' already used twice']",great app,great app,App_Utility,positive,,,,
service was great,['service was great'],service,was great,service_quality,positive,,,,
nice service,['nice service'],nice service,nice service,Company_Service,positive,,,,
"Exceptional services, made life easy.","['Exceptional services', ' made life easy']",exceptional services,exceptional services,Company_Service,positive,made life easy,made life,Company_Service,positive
urban clap is a foolish company making customer fool,"['urban clap', 'is a foolish company making customer fool']",making customer fool,urban clap,Company_Service,negative ,,foolish company,,
Useless app.,['Useless app'],useless app,useless app,App_Utility,negative ,,,,
good but cost is too high,"['good ', ' cost is too high']",good,,Company_Service,positive,too high,too high,cost,negative 
Very good and  professional,['Very good and professional'],good,very good,Company_Service,positive,professional,,service_person_attitude ,positive
service much better than company service providers,"['service much better than company', 'service providers']",service much better,than company,Company_Service,positive,,service providers,,
Professionally managed company,['Professionally managed company'],professionally managed,managed company,Company_Service,positive,,,,
great service,['great service'],great service,great service,Company_Service,positive,,,,
HAPPYLIY SATISFIED,['HAPPYLIY SATISFIED'],satisfied,,Company_Service,positive,,,,
very happy and pleased with the experience.,"['very happy ', ' pleased with the experience']",happy,very happy,Company_Service,positive,experience,the experience,service_quality,positive
"loving it. professional workmanship, prompt service","['loving it', ' professional workmanship, prompt service']",professional workmanship,,service_person_attitude,positive,prompt service,professional workmanship,service_schedule,positive
timely service and knowledgeable people.,"['timely service ', ' knowledgeable people']",timely service,timely service,Company_Service,positive,knowledgeable people,knowledgeable people,service_person_attitude ,positive
good service,['good service'],good service,good service,Company_Service,positive,,,,
